TestCaseID,Kind,Subtype,TestGroup,DocTypeCode,DocClass,TaxCategory,TransactionFlags,ItemType,Currency,Scenario/CondFields,SeedXML,InstanceXML,Mutation/Build,PredictedOutcome,ExpectedRuleID,RuleLayer,BusinessTerms,RuleMessage,RejectSource,ActualOutcome,FiredRuleIDs,Status,SourceRef,Notes
EX:Seller-TIN-identifier,Positive,vendor-example,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Vendor example — Seller TIN identifier (380/S); native valid PINT-AE instance.,pint-invoice/Seller-TIN-identifier.xml,catalog_xml/EX_Seller-TIN-identifier.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Standard invoice Mandatory fields,Positive,vendor-example,Tax-Category,380,Tax Invoice,S,Standard,G,AED,Vendor example — Standard invoice Mandatory fields (380/S); native valid PINT-AE instance.,pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/EX_Standard_invoice_Mandatory_fields.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Standard tax invoice,Positive,vendor-example,Tax-Category,380,Tax Invoice,S,Standard,n/a,AED,Vendor example — Standard tax invoice (380/S); native valid PINT-AE instance.,pint-invoice/Standard tax invoice.xml,catalog_xml/EX_Standard_tax_invoice.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Standard.invoice.-.Extensive,Positive,vendor-example,Tax-Category,380,Tax Invoice,S+E+O+AE+Z,FTZ+Continuous+eComm,G,AED,Vendor example — Standard invoice   Extensive (380/S); native valid PINT-AE instance.,pint-invoice/Standard.invoice.-.Extensive.xml,catalog_xml/EX_Standard.invoice.-.Extensive.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Standard.tax.invoice.-.predefined.endpoint,Positive,vendor-example,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Vendor example — Standard tax invoice   predefined endpoint (380/S); native valid PINT-AE instance.,pint-invoice/Standard.tax.invoice.-.predefined.endpoint.xml,catalog_xml/EX_Standard.tax.invoice.-.predefined.endpoint.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Summary tax invoice,Positive,vendor-example,Tax-Category,380,Tax Invoice,S+AE,Summary,G,AED,Vendor example — Summary tax invoice (380/S); native valid PINT-AE instance.,pint-invoice/Summary tax invoice.xml,catalog_xml/EX_Summary_tax_invoice.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Supply involving free trade zone,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,S,FTZ,G,AED,Vendor example — Supply involving free trade zone (380/S); native valid PINT-AE instance.,pint-invoice/Supply involving free trade zone.xml,catalog_xml/EX_Supply_involving_free_trade_zone.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Supply through e-commerce,Positive,vendor-example,Tax-Category,380,Tax Invoice,S,Exports,G,AED,Vendor example — Supply through e commerce (380/S); native valid PINT-AE instance.,pint-invoice/Supply through e-commerce.xml,catalog_xml/EX_Supply_through_e-commerce.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Supply under Reverse charge mechanism,Positive,vendor-example,Tax-Category,380,Tax Invoice,AE,Standard,G,AED,Vendor example — Supply under Reverse charge mechanism (380/AE); native valid PINT-AE instance.,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/EX_Supply_under_Reverse_charge_mechanism.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Zero rated supplies,Positive,vendor-example,Tax-Category,380,Tax Invoice,Z,Standard,n/a,AED,Vendor example — Zero rated supplies (380/Z); native valid PINT-AE instance.,pint-invoice/Zero rated supplies.xml,catalog_xml/EX_Zero_rated_supplies.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Disclosed agent billing tax credit note,Positive,vendor-example,Transaction-Flag,381,Tax Credit Note,S,Standard,G,AED,Vendor example — Disclosed agent billing tax credit note (381/S); native valid PINT-AE instance.,pint-creditnote/Disclosed agent billing tax credit note.xml,catalog_xml/EX_Disclosed_agent_billing_tax_credit_note.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Standard tax credit Note,Positive,vendor-example,Tax-Category,381,Tax Credit Note,S,Standard,G,AED,Vendor example — Standard tax credit Note (381/S); native valid PINT-AE instance.,pint-creditnote/Standard tax credit Note.xml,catalog_xml/EX_Standard_tax_credit_Note.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Volume-discount-credit-note,Positive,vendor-example,Allowance-Charge,381,Tax Credit Note,S,Standard,G,AED,Vendor example — Volume discount credit note (381/S); native valid PINT-AE instance.,pint-creditnote/Volume-discount-credit-note.xml,catalog_xml/EX_Volume-discount-credit-note.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Self Billing,Positive,vendor-example,Tax-Category,389,Self-Billing Invoice,S,Standard,G,AED,Vendor example — Self Billing (389/S); native valid PINT-AE instance.,sb-invoice/Self Billing.xml,catalog_xml/EX_Self_Billing.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Self billing tax credit note,Positive,vendor-example,Tax-Category,261,Self-Billing Credit Note,S,Standard,G,AED,Vendor example — Self billing tax credit note (261/S); native valid PINT-AE instance.,sb-creditnote/Self billing tax credit note.xml,catalog_xml/EX_Self_billing_tax_credit_note.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
PX-380-01,Positive,patched,Transaction-Flag,380,Tax Invoice,S,eComm,G,AED,clean e-commerce (pos7); deliver-to already in seed,pint-invoice/Supply through e-commerce.xml,catalog_xml/PX-380-01.xml,set /Invoice/cbc:ProfileExecutionID = 00000010,VALID,,,,,,PASS,,VERIFIED,Guidelines §10.4#7,
PX-380-02,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,G,AED,seller legal-reg-type @schemeAgencyID=EID (schemeAgencyID-only; inert for ibr-012/172 which key off BTAE type),pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-02.xml,attr /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = EID,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b A1,
PX-380-03,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,G,AED,seller legal-reg type CD,pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-03.xml,attr /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = CD,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b A1,
PX-380-04,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,G,AED,buyer legal-reg type EID,pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-04.xml,attr /Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = EID,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b A1,
PX-380-05,Positive,patched,Party/Identifier,380,Tax Invoice,S,Standard,G,AED,buyer not-onboarded predefined endpoint 98,pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-05.xml,set /Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID = 9900000098,VALID,,,,,,PASS,,VERIFIED,Guidelines §10.2.2,
PX-380-06,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,payment-means 48 (card; CardAccount-compatible),pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-06.xml,set /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode = 48 ; attr /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode @name = Bank card,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b F,
PX-380-07,Positive,patched,Item/Classification,380,Tax Invoice,S,Standard,S,AED,item type Services (needs SAC classification),pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-07.xml,"set /Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:CommodityCode = S ; add /Invoice/cac:InvoiceLine/cac:Item (<cac:AdditionalItemIdentification><cbc:ID schemeID=""SAC"">997331</cbc:ID></cac:AdditionalItemIdentification>)",VALID,,,,,,PASS,,VERIFIED,scenario-axes §1,
PX-380-08,Positive,patched,Item/Classification,380,Tax Invoice,S,Standard,B,AED,item type Both (needs HS+SAC),pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-08.xml,"set /Invoice/cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:CommodityCode = B ; add /Invoice/cac:InvoiceLine/cac:Item (<cac:AdditionalItemIdentification><cbc:ID schemeID=""SAC"">997331</cbc:ID></cac:AdditionalItemIdentification>)",VALID,,,,,,PASS,,VERIFIED,scenario-axes §1,
PX-380-09,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,FTZ,n/a,AED,FTZ+Z re-seed(Z); flag + add beneficiary,pint-invoice/Zero rated supplies.xml,catalog_xml/PX-380-09.xml,set /Invoice/cbc:ProfileExecutionID = 10000000 ; add . (<cac:BuyerCustomerParty><cac:Party><cac:PartyIdentification><cbc:ID>AE-BEN-001</cbc:ID></cac:PartyIdentification></cac:Party></cac:BuyerCustomerParty>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-10,Positive,patched,Transaction-Flag,380,Tax Invoice,AE,FTZ,G,AED,FTZ+AE re-seed(AE); flag + add beneficiary,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-380-10.xml,set /Invoice/cbc:ProfileExecutionID = 10000000 ; add . (<cac:BuyerCustomerParty><cac:Party><cac:PartyIdentification><cbc:ID>AE-BEN-001</cbc:ID></cac:PartyIdentification></cac:Party></cac:BuyerCustomerParty>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-11,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Summary,n/a,AED,Summary+Z re-seed(Z); flag + add InvoicePeriod,pint-invoice/Zero rated supplies.xml,catalog_xml/PX-380-11.xml,set /Invoice/cbc:ProfileExecutionID = 00010000 ; add . (<cac:InvoicePeriod><cbc:StartDate>2025-01-01</cbc:StartDate><cbc:EndDate>2025-01-31</cbc:EndDate></cac:InvoicePeriod>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-12,Positive,patched,Transaction-Flag,380,Tax Invoice,AE,Summary,G,AED,Summary+AE re-seed(AE); flag + add InvoicePeriod,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-380-12.xml,set /Invoice/cbc:ProfileExecutionID = 00010000 ; add . (<cac:InvoicePeriod><cbc:StartDate>2025-01-01</cbc:StartDate><cbc:EndDate>2025-01-31</cbc:EndDate></cac:InvoicePeriod>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-13,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Continuous,n/a,AED,Continuous+Z re-seed(Z); flag-flip only,pint-invoice/Zero rated supplies.xml,catalog_xml/PX-380-13.xml,set /Invoice/cbc:ProfileExecutionID = 00001000,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-14,Positive,patched,Transaction-Flag,380,Tax Invoice,AE,Continuous,G,AED,Continuous+AE re-seed(AE); flag-flip only,pint-invoice/Supply under Reverse charge mechanism.xml,catalog_xml/PX-380-14.xml,set /Invoice/cbc:ProfileExecutionID = 00001000,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-15,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Agent,G,AED,DisclosedAgent+Z,pint-invoice/Disclosed.agent.billing.xml,catalog_xml/PX-380-15.xml,RECALC: categories->Z; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-16,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,FTZ+Exports,G,USD,FTZ+Exports re-seed(Exports=Z+deliver-to); flag + add beneficiary,pint-invoice/Exports.xml,catalog_xml/PX-380-16.xml,set /Invoice/cbc:ProfileExecutionID = 10000001 ; add . (<cac:BuyerCustomerParty><cac:Party><cac:PartyIdentification><cbc:ID>AE-BEN-001</cbc:ID></cac:PartyIdentification></cac:Party></cac:BuyerCustomerParty>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-17,Positive,patched,Transaction-Flag,380,Tax Invoice,S+AE,Summary+Continuous,G,AED,Summary+Continuous re-seed(Summary=period); flag-flip only,pint-invoice/Summary tax invoice.xml,catalog_xml/PX-380-17.xml,set /Invoice/cbc:ProfileExecutionID = 00011000,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-18,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,Continuous+Exports,G,USD,Continuous+Exports re-seed(Exports); flag-flip only,pint-invoice/Exports.xml,catalog_xml/PX-380-18.xml,set /Invoice/cbc:ProfileExecutionID = 00001001,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-19,Positive,patched,Transaction-Flag,380,Tax Invoice,Z,eComm+Exports,G,USD,eCommerce+Exports re-seed(Exports=deliver-to); flag-flip only,pint-invoice/Exports.xml,catalog_xml/PX-380-19.xml,set /Invoice/cbc:ProfileExecutionID = 00000011,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-380-20,Positive,patched,Tax-Category,380,Tax Invoice,S+Z,Standard,n/a,AED,mixed-category multi-line (S+Z),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-380-20.xml,RECALC: add 2nd InvoiceLine cat Z (rate 0)+matching TaxSubtotal; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b B1,
PX-380-21,Positive,patched,Tax-Category,380,Tax Invoice,S+AE,Standard,G,AED,mixed multi-line (S+AE),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-380-21.xml,RECALC: add 2nd InvoiceLine cat AE+RCM+TaxSubtotal; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b B1,
PX-380-22,Positive,patched,Codelist-Value,380,Tax Invoice,S+E,Standard,n/a,AED,mixed multi-line (S+E); >=1 non-E/O so ibr-151 ok,pint-invoice/Standard tax invoice.xml,catalog_xml/PX-380-22.xml,RECALC: add 2nd InvoiceLine cat E+exemption reason+TaxSubtotal; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b B1,
PX-380-23,Positive,patched,Currency/FX,380,Tax Invoice,S,Standard,n/a,USD,currency!=AED (Tax Accounting Currency),pint-invoice/Standard tax invoice.xml,catalog_xml/PX-380-23.xml,RECALC: set DocumentCurrencyCode=USD; add TaxCurrencyCode AED + VAT-in-AED + exchange; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §1,
PX-380-24,Positive,patched,References/Dates,380,Tax Invoice,S,Standard,n/a,AED,advance payment,pint-invoice/Standard tax invoice.xml,catalog_xml/PX-380-24.xml,RECALC: add PrepaidAmount + BillingReference(prior inv); reduce PayableAmount,VALID,,,,,,PASS,,VERIFIED,Guidelines §12.2#9,
PX-380-25,Positive,patched,References/Dates,380,Tax Invoice,S,Standard,n/a,AED,prepayment,pint-invoice/Standard tax invoice.xml,catalog_xml/PX-380-25.xml,RECALC: add PrepaidAmount + BillingReference; reduce PayableAmount,VALID,,,,,,PASS,,VERIFIED,Guidelines §12.2#10,
PX-380-26,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,payment-means 30 (credit transfer; account swap),pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-26.xml,set /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode = 30 ; del /Invoice/cac:PaymentMeans/cac:CardAccount ; add /Invoice/cac:PaymentMeans (<cac:PayeeFinancialAccount><cbc:ID>AE070331234567890123456</cbc:ID></cac:PayeeFinancialAccount>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b F,
PX-380-27,Positive,patched,Payment,380,Tax Invoice,S,Standard,G,AED,payment-means 10 (cash; no account),pint-invoice/Standard invoice Mandatory fields.xml,catalog_xml/PX-380-27.xml,set /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode = 10 ; del /Invoice/cac:PaymentMeans/cac:CardAccount,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b F,
PX-381-01,Positive,patched,Transaction-Flag,381,Tax Credit Note,S,Continuous,G,AED,Continuous (pos5; no required field); CN reason+ref in seed,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-01.xml,set /CreditNote/cbc:ProfileExecutionID = 00001000,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-381-02,Positive,patched,Party/Identifier,381,Tax Credit Note,S,Standard,G,AED,seller legal-reg EID,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-02.xml,attr /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID @schemeAgencyID = EID,VALID,,,,,,PASS,,VERIFIED,scenario-axes §2b A1,
PX-381-03,Positive,patched,Party/Identifier,381,Tax Credit Note,S,Standard,G,AED,buyer not-onboarded endpoint 98,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-03.xml,set /CreditNote/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID = 9900000098,VALID,,,,,,PASS,,VERIFIED,Guidelines §10.2.2,
PX-381-04,Positive,patched,References/Dates,381,Tax Credit Note,S,Standard,G,AED,multi-reference CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-04.xml,dup /CreditNote/cac:BillingReference ; set /CreditNote/cac:BillingReference[2]/cac:InvoiceDocumentReference/cbc:ID = Sample-03,VALID,,,,,,PASS,,VERIFIED,Guidelines §12.2#3,
PX-381-05,Positive,patched,Tax-Category,381,Tax Credit Note,Z,Standard,G,AED,zero-rated CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-05.xml,RECALC: categories->Z (rate 0); recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §3,
PX-381-06,Positive,patched,Tax-Category,381,Tax Credit Note,AE,Standard,G,AED,reverse-charge CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-06.xml,RECALC: categories->AE + RCM goods-type+narrative; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §3,
PX-381-07,Positive,patched,Transaction-Flag,381,Tax Credit Note,N,Margin,G,AED,Margin→cat N,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-07.xml,set cbc:ProfileExecutionID = 00100000 ; set cac:CreditNoteLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID = N ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID = N,VALID,,,,,,PASS,,VERIFIED,recalc_fixes: flag now applied + companion,
PX-381-08,Positive,patched,Transaction-Flag,381,Tax Credit Note,S,Summary,G,AED,summary CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-08.xml,set /CreditNote/cbc:ProfileExecutionID = 00010000 ; add . (<cac:InvoicePeriod><cbc:StartDate>2025-01-01</cbc:StartDate><cbc:EndDate>2025-01-31</cbc:EndDate></cac:InvoicePeriod>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-381-09,Positive,patched,Transaction-Flag,381,Tax Credit Note,Z,Exports,G,AED,Exports→deliver-to(non-AE),pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-09.xml,set cbc:ProfileExecutionID = 00000001 ; set cac:CreditNoteLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID = Z ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID = Z ; add . (<cac:Delivery><cac:DeliveryLocation><cac:Address><cbc:StreetName>Deliver St</cbc:StreetName><cbc:CityName>City</cbc:CityName><cbc:CountrySubentity>DXB</cbc:CountrySubentity><cac:Country><cbc:IdentificationCode>US</cbc:IdentificationCode></cac:Country></cac:Address></cac:DeliveryLocation></cac:Delivery>),VALID,,,,,,PASS,,VERIFIED,recalc_fixes: flag now applied + companion,
PX-381-10,Positive,patched,Transaction-Flag,381,Tax Credit Note,S,FTZ,G,AED,FTZ CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-10.xml,set /CreditNote/cbc:ProfileExecutionID = 10000000 ; add . (<cac:BuyerCustomerParty><cac:Party><cac:PartyIdentification><cbc:ID>AE-BEN-001</cbc:ID></cac:PartyIdentification></cac:Party></cac:BuyerCustomerParty>),VALID,,,,,,PASS,,VERIFIED,scenario-axes §2,
PX-381-11,Positive,patched,Tax-Category,381,Tax Credit Note,S,Standard,G,AED,partial credit note,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-11.xml,RECALC: reduce amounts to partial credit,VALID,,,,,,PASS,,VERIFIED,Guidelines §12.2#4,
PX-381-12,Positive,patched,Currency/FX,381,Tax Credit Note,S,Standard,G,USD,currency!=AED CN,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-12.xml,RECALC: set DocumentCurrencyCode=USD; add TaxCurrencyCode AED + VAT-in-AED; recompute,VALID,,,,,,PASS,,VERIFIED,scenario-axes §1,
PX-381-13,Positive,patched,Item/Classification,381,Tax Credit Note,S,Standard,S,AED,item Services,pint-creditnote/Standard tax credit Note.xml,catalog_xml/PX-381-13.xml,"set /CreditNote/cac:CreditNoteLine/cac:Item/cac:CommodityClassification/cbc:CommodityCode = S ; add /CreditNote/cac:CreditNoteLine/cac:Item (<cac:AdditionalItemIdentification><cbc:ID schemeID=""SAC"">997331</cbc:ID></cac:AdditionalItemIdentification>)",VALID,,,,,,PASS,,VERIFIED,scenario-axes §1,
PX-381-14,Positive,patched,Transaction-Flag,381,Tax Credit Note,Z,Agent,G,AED,Agent→principal(≠sellerVAT),pint-creditnote/Disclosed agent billing tax credit note.xml,catalog_xml/PX-381-14.xml,set cbc:ProfileExecutionID = 00000100 ; set cac:CreditNoteLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID = Z ; set cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID = Z,VALID,,,,,,PASS,,VERIFIED,recalc_fixes: flag now applied + companion,
